Leaf No.,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,Avg Total Chlorophyll (µg/cm2),leaf
1,0.1303765137265655,0.0982315342349818,0.5546174195459131,0.5817639574891946,0.219993027760752,0.1618712303067859,38.76835883666666,banana
2,0.1279886652458484,0.0994748429883377,0.5188355464466963,0.5817639574891946,0.219993027760752,0.1618712303067859,71.40923659666667,banana
3,0.1303765137265655,0.1069356390172978,0.5367259451656554,0.6150098284935226,0.2268673570998294,0.1743212936692621,63.859104163333335,banana
4,0.0711578447636071,0.0870403401915417,0.5247990126863493,0.6316310010372073,0.1856200638917037,0.1369670222629145,58.83652668666667,banana
5,0.0988569404222746,0.0969879896044197,0.5725078182648723,0.6648733461245765,0.2131186984216747,0.1618712303067859,60.81972601666666,banana
6,0.1552101512466105,0.1255871573352857,0.5725078182648723,0.6316310010372073,0.2612416381425392,0.1992234610536741,50.814208576666665,banana
7,0.135629820345905,0.1119091099079277,0.5247990126863493,0.606697479263201,0.2337430036125682,0.1867733976911979,66.93767025666666,banana
8,0.1050653331515517,0.0969879896044197,0.5128720802070432,0.6316310010372073,0.2131186984216747,0.1618712303067859,81.5243058,banana
9,0.1303765137265655,0.0982315342349818,0.5128720802070432,0.5817639574891946,0.219993027760752,0.1743212936692621,72.42418948,banana
10,0.1246456640522572,0.0957446808510638,0.5426894114053084,0.5983868929913586,0.219993027760752,0.1618712303067859,44.169886743333336,banana
11,0.1991465766123921,0.1330477174870397,0.6559984969426119,0.6648733461245765,0.295615919185249,0.2365797731194813,20.28692242,banana
12,0.1174821186101059,0.1007181517416937,0.5128720802070432,0.5900763067195163,0.219993027760752,0.1618712303067859,61.64959248,banana
13,0.1384952118815909,0.1143961991690517,0.5546174195459131,0.5983868929913586,0.2406186501253071,0.1867733976911979,36.97672773666667,banana
14,0.1423157561301509,0.1181263613063257,0.5844347507441783,0.6316310010372073,0.2474929794643844,0.1992234610536741,35.73444939666666,banana
15,0.1021998750129292,0.0945011362205018,0.4949806058267855,0.5983868929913586,0.2062443690825973,0.1618712303067859,73.11829635666666,banana
16,0.1079307912901741,0.0969879896044197,0.5247990126863493,0.5900763067195163,0.2062443690825973,0.1618712303067859,42.56759017,banana
17,0.202011968148078,0.1405082776387937,0.6738899713228698,0.6898068678985829,0.295615919185249,0.2365797731194813,19.19219542,banana
18,0.1213027294616025,0.0982315342349818,0.5128720802070432,0.5900763067195163,0.219993027760752,0.1743212936692621,76.18880164333332,banana
19,0.1208251198036971,0.1056920943867357,0.5188355464466963,0.6150098284935226,0.219993027760752,0.1743212936692621,65.37167558666668,banana
20,0.230666149916683,0.1305606282259156,0.6082896913640891,0.5983868929913586,0.295615919185249,0.2365797731194813,13.009980116666666,banana
21,0.1289438179587225,0.0982315342349818,0.5188355464466963,0.5817639574891946,0.2268673570998294,0.1743212936692621,56.75211462333334,banana
22,0.189117639634555,0.1218567593208057,0.6321435563227011,0.6399415873090496,0.2818659433334328,0.2365797731194813,16.24644707,banana
23,0.1122288785937029,0.1094224924012158,0.5128720802070432,0.606697479263201,0.219993027760752,0.1618712303067859,68.32959374,banana
24,0.1222578155715401,0.1019616963722557,0.5128720802070432,0.5817639574891946,0.219993027760752,0.1743212936692621,54.51767387666666,banana
25,0.1174821186101059,0.1044485497561737,0.5009440720664385,0.5983868929913586,0.2268673570998294,0.1743212936692621,72.63928697666667,banana
26,0.1050653331515517,0.0945011362205018,0.5188355464466963,0.5900763067195163,0.2062443690825973,0.1618712303067859,61.189856405,banana
27,0.1490017585173333,0.1106658011545717,0.5426894114053084,0.6233204147653649,0.2474929794643844,0.1867733976911979,65.13233359333333,banana
28,0.1523447597109246,0.1305606282259156,0.5903982169838313,0.6399415873090496,0.2543673088034618,0.1992234610536741,34.839382863333334,banana
29,0.1088858774001117,0.0969879896044197,0.4890171395871324,0.5900763067195163,0.2062443690825973,0.1618712303067859,79.25833077666667,banana
30,0.1088858774001117,0.1007181517416937,0.4949806058267855,0.5817639574891946,0.2131186984216747,0.1618712303067859,69.28109059666667,banana
31,0.2024895112030468,0.1330477174870397,0.6858169038021757,0.6898068678985829,0.2887415898461716,0.2365797731194813,19.58267273333333,banana
32,0.0993344834772434,0.0870403401915417,0.4949806058267855,0.5734533712173522,0.1993687225698584,0.1494191262848502,62.72111009,banana
33,0.1203475767487283,0.1044485497561737,0.5188355464466963,0.6150098284935226,0.2268673570998294,0.1743212936692621,66.17525484666668,banana
34,0.1337195149201567,0.1056920943867357,0.5367259451656554,0.5983868929913586,0.2268673570998294,0.1743212936692621,59.75294459666667,banana
35,0.230666149916683,0.1305606282259156,0.6321435563227011,0.6233204147653649,0.3024915656979878,0.2614819405038933,14.063178576666669,banana
36,0.1437485185009304,0.1181263613063257,0.5844347507441783,0.6233204147653649,0.2474929794643844,0.1867733976911979,29.85792208,banana
37,0.1036326373837087,0.0920142828365838,0.5128720802070432,0.5817639574891946,0.2062443690825973,0.1494191262848502,54.23312159666667,banana
38,0.1074531816322688,0.0982315342349818,0.4949806058267855,0.6150098284935226,0.2131186984216747,0.1618712303067859,86.98168556666667,banana
39,0.1184373379259166,0.1119091099079277,0.5307624789260023,0.6233204147653649,0.2268673570998294,0.1743212936692621,60.984859273333335,banana
40,0.1193924240358542,0.1056920943867357,0.5307624789260023,0.6316310010372073,0.2268673570998294,0.1743212936692621,84.40628610666666,banana
41,0.095036329570778,0.0833101780542678,0.4830536733474794,0.5568321986736675,0.1856200638917037,0.1369670222629145,66.09468455666666,banana
42,0.1213027294616025,0.1069356390172978,0.5247990126863493,0.606697479263201,0.219993027760752,0.1743212936692621,60.77093364,banana
43,0.1232129682844142,0.1032052410028178,0.5247990126863493,0.606697479263201,0.219993027760752,0.1618712303067859,62.19241077666667,banana
44,0.1103185731679547,0.1007181517416937,0.5367259451656554,0.6150098284935226,0.2131186984216747,0.1618712303067859,61.22425628666667,banana
45,0.1380176022236855,0.0994748429883377,0.5486539533062601,0.5983868929913586,0.2268673570998294,0.1743212936692621,50.78032743,banana
46,0.116049422842263,0.0982315342349818,0.5188355464466963,0.5900763067195163,0.2131186984216747,0.1618712303067859,68.27303922666667,banana
47,0.1724027002695354,0.1206132146902437,0.6261800900830481,0.6399415873090496,0.2612416381425392,0.1992234610536741,31.0638938,banana
48,0.1819540941924037,0.1044485497561737,0.5426894114053084,0.5319004398581406,0.2543673088034618,0.1992234610536741,16.75881414666667,banana
49,0.1289438179587225,0.0982315342349818,0.5307624789260023,0.5983868929913586,0.2268673570998294,0.1743212936692621,67.45947513333333,banana
50,0.1232129682844142,0.0969879896044197,0.4949806058267855,0.5734533712173522,0.219993027760752,0.1618712303067859,69.69720905666667,banana
51,0.1389727549365597,0.1156395079224077,0.5486539533062601,0.606697479263201,0.2268673570998294,0.1743212936692621,59.84200325333334,banana
52,0.1466139100366163,0.1106658011545717,0.5665443520252191,0.6233204147653649,0.2406186501253071,0.1867733976911979,52.92600818666667,banana
53,0.1122288785937029,0.0907707382060217,0.5367259451656554,0.606697479263201,0.2062443690825973,0.1618712303067859,72.59048674333333,banana
54,0.1480466058044592,0.1081789477706537,0.5784712845045251,0.6233204147653649,0.2406186501253071,0.1867733976911979,59.84593304999999,banana
55,0.16046345786595,0.1069356390172978,0.6023251494631374,0.6316310010372073,0.2474929794643844,0.1867733976911979,48.69594051666667,banana
56,0.1714474809537247,0.1218567593208057,0.6202166238433952,0.6316310010372073,0.2543673088034618,0.1992234610536741,33.77004393666667,banana
57,0.1509120639430816,0.1056920943867357,0.6321435563227011,0.6482521735808918,0.2474929794643844,0.1867733976911979,37.870739506666666,banana
58,0.1170045755551371,0.0982315342349818,0.5247990126863493,0.6316310010372073,0.219993027760752,0.1618712303067859,88.93881304499999,banana
59,0.1380176022236855,0.1168828166757636,0.5367259451656554,0.6482521735808918,0.2406186501253071,0.1743212936692621,74.72276060333333,banana
60,0.1499569112302075,0.1218567593208057,0.6202166238433952,0.6731839323964188,0.2474929794643844,0.1992234610536741,39.87457970666667,banana
61,0.1614186105788241,0.1094224924012158,0.5784712845045251,0.6233204147653649,0.2474929794643844,0.1867733976911979,62.61077550666666,banana
62,0.1131840313065771,0.0957446808510638,0.5247990126863493,0.6150098284935226,0.2131186984216747,0.1618712303067859,76.49003639000001,banana
63,0.1012447889029917,0.0895274294526658,0.5069075383060916,0.5983868929913586,0.2062443690825973,0.1494191262848502,80.38844010666668,banana
64,0.1480466058044592,0.1019616963722557,0.5784712845045251,0.5983868929913586,0.2337430036125682,0.1743212936692621,45.23548136,banana
65,0.1322868191523138,0.1056920943867357,0.5844347507441783,0.6233204147653649,0.2337430036125682,0.1743212936692621,35.15257362333333,banana
66,0.139450364594465,0.1019616963722557,0.5546174195459131,0.6233204147653649,0.2337430036125682,0.1743212936692621,60.34289217333333,banana
67,0.1833867233573101,0.1231003039513678,0.650035030702959,0.6565645228112136,0.2749916139943554,0.2241276690975455,23.374343133333337,banana
68,0.1532998458208622,0.1094224924012158,0.6023251494631374,0.6150098284935226,0.2406186501253071,0.1867733976911979,34.65375963666666,banana
69,0.173357786379473,0.1181263613063257,0.6082896913640891,0.6316310010372073,0.2612416381425392,0.1992234610536741,40.008258866666665,banana
70,0.0969466349965263,0.0820668693009118,0.5009440720664385,0.5900763067195163,0.1993687225698584,0.1494191262848502,76.83541062333335,banana
71,0.1227354252294454,0.0920142828365838,0.5605798101242675,0.606697479263201,0.219993027760752,0.1618712303067859,43.468993106666666,banana
