Leaf No.,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,Avg Total Chlorophyll (µg/cm2),leaf
1,0.0902558690438391,0.1003265791571723,0.197789829122833,0.1861511841653371,0.1379130707645243,0.0910133744656462,38.76835883666666,banana
2,0.0885033145694572,0.0990202796889738,0.1681962960285713,0.162653104468019,0.1311304317322889,0.0933077795210941,71.40923659666667,banana
3,0.0937609481496973,0.1034618008437942,0.1758756131180101,0.1698191765638098,0.1351304326166253,0.0982791711867297,63.859104163333335,banana
4,0.0618647014277726,0.0684519969480924,0.1146281853203911,0.1108241170379833,0.0753043388417418,0.0615678562434169,58.83652668666667,banana
5,0.0842972256110085,0.0898758831029934,0.1367297196152626,0.134488816978403,0.1043478251257213,0.0822179187705211,60.81972601666666,banana
6,0.1083070368840258,0.1180927495789083,0.2022850842350425,0.2024831567258039,0.1613913176000554,0.1239006253794694,50.814208576666665,banana
7,0.1090080467366163,0.1047681003119927,0.1747518080637976,0.1716523496485329,0.1424347932719982,0.1105162761678339,66.93767025666666,banana
8,0.0860497800853904,0.0901371944781058,0.1447836732847984,0.1416548540331332,0.1114782662909317,0.0860420662056254,81.5243058,banana
9,0.0830704732904279,0.1005878476310575,0.179247063176007,0.1723189707851815,0.1349565131264629,0.0956023513877714,72.42418948,banana
10,0.0834209782167231,0.0951012525806965,0.1762502496981071,0.165486209257715,0.127304350338115,0.0879540565175628,44.169886743333336,banana
11,0.1090080467366163,0.1358589200006443,0.2858213297222219,0.2701441859048805,0.2090434892317673,0.1338431584938964,20.28692242,banana
12,0.0983175718773469,0.0958850580023519,0.1567709271963981,0.1549871015608024,0.1253913096410279,0.0975143416997088,61.64959248,banana
13,0.10725552210514,0.1094709328419255,0.2071549061366298,0.2009832591683445,0.158086957829019,0.109751446680813,36.97672773666667,banana
14,0.1042762153101775,0.1052906801609902,0.2090279145603173,0.1981501543786485,0.1533913158313827,0.1070746268818548,35.73444939666666,banana
15,0.079565364341664,0.0817766033137808,0.1299868892899877,0.1273227448826122,0.1010435022020344,0.0768641957669899,73.11829635666666,banana
16,0.0809673840468451,0.0864794358437136,0.1578947322506105,0.1506541342547076,0.1140869481013187,0.0795410989715629,42.56759017,banana
